customer_id,age,tenure,monthly_revenue,total_revenue,contract,payment_method,usage,support_tickets,satisfaction,churn
SYN-0001,36,41,799,32759,Month-to-month,Card,99,0,5,No
SYN-0002,23,48,799,38352,Month-to-month,UPI,80,1,7,No
SYN-0003,66,14,1299,18186,Annual,Wallet,76,0,4,No
SYN-0004,65,15,3999,59985,Quarterly,NetBanking,5,4,3,Yes
SYN-0005,26,18,1299,23382,Quarterly,UPI,48,3,2,No
SYN-0006,55,23,2499,57477,Month-to-month,Wallet,10,4,8,No
SYN-0007,66,6,2499,14994,Month-to-month,UPI,78,5,4,Yes
SYN-0008,27,43,1299,55857,Quarterly,NetBanking,15,4,4,Yes
SYN-0009,34,30,2499,74970,Annual,NetBanking,52,2,6,No
SYN-0010,31,45,799,35955,Quarterly,Wallet,73,2,4,No
SYN-0011,23,18,1299,23382,Quarterly,Wallet,12,5,4,Yes
SYN-0012,34,18,799,14382,Annual,Wallet,77,3,6,No
SYN-0013,36,26,3999,103974,Annual,NetBanking,38,2,3,No
SYN-0014,29,48,3999,191952,Annual,Wallet,51,6,4,No
SYN-0015,64,6,799,4794,Quarterly,UPI,24,1,3,Yes
SYN-0016,56,25,3999,99975,Month-to-month,UPI,72,7,5,No
SYN-0017,48,44,2499,109956,Month-to-month,Wallet,19,5,5,No
SYN-0018,61,1,,2499,Quarterly,Card,69,2,2,No
SYN-0019,21,10,2499,24990,Annual,NetBanking,74,2,9,No
SYN-0020,36,32,799,25568,Month-to-month,Card,51,1,5,No
SYN-0021,25,57,799,45543,Annual,Card,98,1,8,No
SYN-0022,59,9,3999,35991,Quarterly,Card,38,2,9,No
SYN-0023,49,60,1299,77940,Annual,Wallet,56,4,6,No
SYN-0024,22,8,1299,10392,Annual,Card,13,3,6,No
SYN-0025,35,38,1299,49362,Month-to-month,UPI,14,0,1,Yes
SYN-0026,38,56,2499,139944,Annual,Wallet,70,1,4,No
SYN-0027,47,14,1299,18186,Month-to-month,UPI,36,7,8,No
SYN-0028,50,7,3999,27993,Annual,UPI,59,5,7,Yes
SYN-0029,27,44,799,35156,Month-to-month,Card,56,0,6,No
SYN-0030,38,13,3999,51987,Quarterly,Card,59,2,3,No
SYN-0031,24,56,799,44744,Annual,UPI,75,7,2,No
SYN-0032,51,6,1299,7794,Month-to-month,Wallet,57,2,8,No
SYN-0033,45,58,799,46342,Quarterly,Wallet,53,2,1,No
SYN-0034,39,19,3999,75981,Month-to-month,UPI,24,7,4,Yes
SYN-0035,58,38,799,30362,Quarterly,Card,12,5,1,Yes
SYN-0036,25,4,799,3196,Annual,Card,13,2,10,No
SYN-0037,23,26,799,20774,Annual,UPI,79,3,10,No
SYN-0038,36,27,2499,67473,Quarterly,Wallet,31,4,6,No
SYN-0039,21,9,2499,22491,Quarterly,UPI,45,7,2,No
SYN-0040,25,5,1299,6495,Month-to-month,NetBanking,21,4,6,Yes
SYN-0041,60,19,1299,24681,Annual,UPI,74,7,5,No
SYN-0042,28,43,2499,107457,Month-to-month,Card,22,1,5,No
SYN-0043,34,18,2499,44982,Annual,NetBanking,96,3,6,No
SYN-0044,61,33,3999,131967,Quarterly,NetBanking,11,4,2,Yes
SYN-0045,31,3,799,2397,Annual,Wallet,21,5,5,Yes
SYN-0046,65,36,3999,143964,Month-to-month,UPI,19,0,2,Yes
SYN-0047,23,54,2499,134946,Quarterly,NetBanking,60,2,3,No
SYN-0048,63,58,799,46342,Month-to-month,NetBanking,31,5,4,No
SYN-0049,32,50,3999,199950,Quarterly,UPI,35,2,3,No
SYN-0050,38,12,2499,29988,Month-to-month,UPI,90,6,4,No
SYN-0051,50,25,799,19975,Quarterly,NetBanking,33,7,4,No
SYN-0052,46,53,1299,68847,Quarterly,NetBanking,8,3,4,Yes
SYN-0053,46,56,799,44744,Annual,NetBanking,49,4,9,No
SYN-0054,37,2,799,1598,Month-to-month,UPI,27,4,10,Yes
SYN-0055,48,39,3999,155961,Annual,UPI,98,5,6,No
SYN-0056,21,25,1299,32475,Annual,Card,10,4,7,No
SYN-0057,60,24,3999,95976,Quarterly,UPI,90,1,6,No
SYN-0058,41,47,2499,117453,Quarterly,NetBanking,90,4,7,No
SYN-0059,64,36,1299,46764,Annual,Card,58,3,7,No
SYN-0060,40,40,2499,99960,Quarterly,Card,75,6,1,No
SYN-0061,64,28,2499,69972,Month-to-month,Wallet,61,7,8,No
SYN-0062,63,51,1299,66249,Annual,NetBanking,41,1,9,No
SYN-0063,30,6,1299,7794,Month-to-month,UPI,33,4,4,Yes
SYN-0064,61,16,3999,63984,Annual,Card,63,1,7,No
SYN-0065,30,46,3999,183954,Annual,UPI,56,7,4,No
SYN-0066,65,58,799,46342,Annual,Wallet,33,6,3,No
SYN-0067,50,4,1299,5196,Annual,NetBanking,63,1,3,No
SYN-0068,31,49,3999,195951,Annual,Wallet,75,6,8,No
SYN-0069,54,29,2499,72471,Quarterly,Card,86,3,5,No
SYN-0070,36,18,3999,71982,Quarterly,NetBanking,96,1,5,No
SYN-0071,45,21,799,16779,Annual,Card,24,2,4,Yes
SYN-0072,42,46,1299,59754,Annual,Wallet,58,1,7,No
SYN-0073,58,27,799,21573,Annual,UPI,58,3,7,No
SYN-0074,40,55,3999,219945,Quarterly,Wallet,5,7,6,No
SYN-0075,48,35,1299,45465,Quarterly,UPI,33,7,5,No
SYN-0076,50,25,2499,62475,Month-to-month,UPI,97,6,3,No
SYN-0077,29,59,3999,235941,Quarterly,Card,15,0,7,No
SYN-0078,50,4,2499,9996,Quarterly,NetBanking,46,6,4,Yes
SYN-0079,26,49,3999,195951,Quarterly,UPI,58,4,5,No
SYN-0080,62,48,799,38352,Month-to-month,UPI,33,5,2,No
SYN-0081,36,16,1299,20784,Month-to-month,Wallet,84,0,3,No
SYN-0082,44,43,799,34357,Month-to-month,UPI,64,3,5,No
SYN-0083,22,50,1299,64950,Quarterly,Wallet,18,4,10,No
SYN-0084,27,26,1299,33774,Annual,NetBanking,80,1,4,No
SYN-0085,48,55,799,43945,Annual,NetBanking,49,0,9,No
SYN-0086,27,5,2499,12495,Quarterly,NetBanking,58,0,8,No
SYN-0087,67,41,3999,163959,Annual,NetBanking,60,2,3,No
SYN-0088,38,40,3999,159960,Quarterly,Card,60,7,10,No
SYN-0089,50,54,799,43146,Annual,Wallet,62,4,4,No
SYN-0090,52,22,799,17578,Month-to-month,NetBanking,46,7,3,No
SYN-0091,65,52,2499,129948,Quarterly,UPI,40,5,10,No
SYN-0092,52,34,1299,44166,Annual,Card,35,1,7,No
SYN-0093,26,45,3999,179955,Quarterly,Card,62,7,1,No
SYN-0094,44,26,1299,33774,Quarterly,NetBanking,89,4,10,No
SYN-0095,38,28,2499,69972,Quarterly,NetBanking,94,5,8,No
SYN-0096,68,15,799,11985,Annual,Card,45,3,2,No
SYN-0097,54,13,1299,16887,Annual,NetBanking,40,7,10,No
SYN-0098,32,7,1299,9093,Quarterly,UPI,34,4,6,Yes
SYN-0099,56,46,1299,59754,Quarterly,Card,10,4,1,Yes
SYN-0100,39,41,3999,163959,Quarterly,Wallet,6,1,10,No
SYN-0101,51,29,2499,72471,Month-to-month,UPI,11,2,5,No
SYN-0102,30,26,3999,103974,Month-to-month,NetBanking,78,1,1,No
SYN-0103,59,6,1299,7794,Annual,Card,76,1,7,No
SYN-0104,58,50,3999,199950,Quarterly,NetBanking,61,7,5,No
SYN-0105,37,37,799,29563,Annual,UPI,31,1,4,No
SYN-0106,31,11,1299,14289,Month-to-month,Wallet,75,2,2,No
SYN-0107,39,29,3999,115971,Annual,NetBanking,9,4,4,Yes
SYN-0108,37,45,3999,179955,Annual,Card,92,1,4,No
SYN-0109,38,28,799,22372,Month-to-month,UPI,87,3,3,No
SYN-0110,39,4,1299,5196,Quarterly,UPI,81,4,10,Yes
SYN-0111,55,30,2499,74970,Quarterly,Wallet,39,6,9,No
SYN-0112,59,6,799,4794,Quarterly,UPI,99,6,6,Yes
SYN-0113,57,6,1299,7794,Month-to-month,Card,91,0,5,No
SYN-0114,48,31,3999,123969,Annual,Wallet,28,4,10,No
SYN-0115,41,6,3999,23994,Annual,UPI,57,5,6,Yes
SYN-0116,39,55,1299,71445,Annual,Wallet,57,5,8,No
SYN-0117,37,53,799,42347,Quarterly,UPI,16,7,6,No
SYN-0118,50,50,3999,199950,Quarterly,UPI,89,0,9,No
SYN-0119,24,13,2499,32487,Month-to-month,NetBanking,85,7,8,No
SYN-0120,28,36,1299,46764,Month-to-month,Card,61,4,8,No
SYN-0121,56,46,1299,59754,Quarterly,UPI,75,4,1,No
SYN-0122,52,15,799,11985,Annual,NetBanking,20,7,3,Yes
SYN-0123,36,33,2499,82467,Quarterly,Card,66,6,8,No
SYN-0124,47,25,1299,32475,Quarterly,NetBanking,13,2,5,No
SYN-0125,58,53,799,42347,Annual,Wallet,97,4,5,No
SYN-0126,43,56,1299,72744,Quarterly,Wallet,73,7,8,No
